Subrubriek,Titel,Kamerstuk nummer,Relevantie vanwege:,Indiener,Dossier,Parlementair Jaar,Link ,,,,,
Motie,Motie van het lid Verhoeven c.s. over openbaarheid van de werking en de broncode van algoritmen en analysemethoden,"kamerstuk 32 761, nr. 117",transparantie,TK,Verwerking en bescherming van persoonsgegevens,2017/2018,https://zoek.officielebekendmakingen.nl/kst-32761-117.html,,,,,
Brief,"Reactie op de motie van de leden Verhoeven en Buitenweg over openbaarmaking van databestanden, algoritmes en analysemethodes van SyRI","Kamerstuk 32 761, nr. 122",Syri,SZW,Verwerking en bescherming van persoonsgegevens,2017/2018,https://zoek.officielebekendmakingen.nl/kst-32761-122.html,,,,,
Brief,Kabinetsstandpunt over WRR-rapport “Big Data in een vrije en veilige samenleving”,"Kamerstuk 26 643, nr. 426.",big data,JenV,Informatie- en communicatietechnologie (ICT),2016/2017,https://zoek.officielebekendmakingen.nl/kst-26643-426.html ,,,,,
Brief,Onderzoek naar de toekomst van onafhankelijke journalistiek in Nederland,"Kamerstuk 32 827, nr. 116",journalistiek,OCW,Toekomst Mediabeleid,2016/2017,https://zoek.officielebekendmakingen.nl/kst-32827-127.html,,,,,
Brief,Rapport van de expertgroep big data en privacy,"Kamerstuk 32 761, nr. 108",big data,EZK,Verwerking en bescherming van persoonsgegevens,2016/2017,https://zoek.officielebekendmakingen.nl/kst-32761-108.html ,,,,,
Brief,Kabinetsstandpunt over WRR-rapport “Big Data in een vrije en veilige samenleving”,"Kamerstuk 26 643 en 32 761, nr. 426",big data,TK,Verwerking en bescherming van persoonsgegevens + Informatie- en communicatietechnologie (ICT),2016/2017,https://zoek.officielebekendmakingen.nl/kst-26643-426 ,,,,,
Brief,Rapport van de expertgroep big data en privacy,"
kamerstuk 32 761, nr.108",gegevensbescherming ,,Verwerking en bescherming van persoonsgegevens,2016/2017,https://zoek.officielebekendmakingen.nl/kst-32761-108.html,,,,,
Brief,Reactie op verzoek commissie inzake het rapport van het Rathenau Instituut: “Opwaarderen. Borgen van publieke waarden in de digitale samenlevin,Kamerstuk 26643 455,publieke waarden,BZK,Informatie- en communicatietechnologie (ICT),2016/2017,https://zoek.officielebekendmakingen.nl/kst-26643-455.html ,,,,,
Brief,"Reactie op het advies ”Klaar voor de Toekomst” van de Adviesraad voor Wetenschap, Technologie en Innovatie (AWTI)","Kamerstuk 33 009, nr. 13",digitalisering (algemeen),EZK,Innovatiebeleid,2015/2016,https://zoek.officielebekendmakingen.nl/kst-33009-13 ,,,,,
Verslag,Verslag van een schriftelijk overleg over de kabinetsreactie op het advies “Autonome wapensystemen: de noodzaak van betekenisvolle menselijke controle” van de Adviesraad Internationale Vraagstukken (AIV) en de Commissie van Advies inzake Volkenrechtelijke Vraagstukken (CAVV),"Kamerstuk 34300-X, nr. 109.",autonome wapens,BZ/Def,Vaststelling van de begrotingsstaten van het Ministerie van Defensie (X) voor het jaar 2016,2015/2016,https://zoek.officielebekendmakingen.nl/kst-34300-X-109.html,,,,,
Brief,"Big Data in Onderwijs, Cultuur en Wetenschap","Kamerstuk 31 288, nr. 545",big data,OCW,"Hoger Onderwijs-, Onderzoek- en Wetenschapsbeleid",2015/2016,https://zoek.officielebekendmakingen.nl/kst-31288-545.html,,,,,
Brief,Nadere informatie over Big data en privacy,"Kamerstuk 32761, nr. 78",gegevensbescherming ,EZK,Verwerking en bescherming van persoonsgegevens,2014/2015,https://zoek.officielebekendmakingen.nl/kst-32761-78.html,,,,,
Brief,Ruimte voor vernieuwing door toekomstbestendige wet- en regelgeving,"Kamerstuk 33 009, nr. 10",regulering irt innovatie,EZK,Innovatiebeleid,2014/2015,https://zoek.officielebekendmakingen.nl/kst-33009-10.html,,,,,
Brief,Kabinetsvisie op e-privacy: op weg naar gerechtvaardigd vertrouwen,"Kamerstuk 32 761, nr. 49",gegevensbescherming ,EZK,Verwerking en bescherming van persoonsgegevens,2012/2013,https://zoek.officielebekendmakingen.nl/kst-32761-49.html,,,,,
Brief,Vrijheid en veiligheid in de digitale samenleving,"Kamerstuk 26 643, nr. 298",digitalisering (algemeen),JenV/BZK,Informatie- en communicatietechnologie (ICT),2012/2013,https://zoek.officielebekendmakingen.nl/kst-26643-298.html,,,,,
Bijlage,Strategische i-agenda Rijksdienst,"Kamerstuk 26 643, nr.591",digitalisering (algemeen),BZK,Informatie- en communicatietechnologie (ICT),2018/2019,https://zoek.officielebekendmakingen.nl/blg-871924.pdf,,,,,
Brief,Reactie op verzoek commissie op het rapport ‘Scientia potentia est: de opkomst van de makelaar voor alles’ van het CPB,"Kamerstuk 33 009, nr.48",platforms,EZK,Innovatiebeleid,2017/2018,https://zoek.officielebekendmakingen.nl/kst-33009-48.html,,,,,
Brief,Heimelijke beïnvloeding van de publieke opinie door statelijke actoren,"Kamerstuk 26 643, nr. 508",beinvloeding ,BZK,Informatie- en communicatietechnologie (ICT),2019/2020,https://zoek.officielebekendmakingen.nl/kst-26643-508.html,,,,,
Brief,Drones,"Kamerstuk 30 806, nr.28",Drones,JenV/IenW/EZK,Onbemande vliegtuigen (UAV),2014/2015,https://zoek.officielebekendmakingen.nl/kst-30806-28.html,,,,,
Brief,Digitale laaggeletterdheid en structurele aanpak in actieprogramma Tel mee met Taal,"Kamerstuk 28 760, nr. 53",digitalisering (algemeen),OCW,Meerjarenplan Alfabetisering,2015/2016,https://zoek.officielebekendmakingen.nl/kst-28760-53.html,,,,,
Brief,Voortgang dronesbeleid,"Kamerstuk 30 806, nr. 36",Drones,IenW/JenV/EZK/Def ,Onbemande vliegtuigen (UAV),2016/2017,https://zoek.officielebekendmakingen.nl/kst-30806-36.html,,,,,
Brief,Voortgangsrapportage Digitaal 2017,"Kamerstuk 26 643, nr. 431",Digitalisering (algemeen),BZK,Informatie- en communicatietechnologie (ICT),2016/2017,https://zoek.officielebekendmakingen.nl/kst-26643-431.html,,,,,
Brief,"Toezeggingen over Big data, richtlijnvoorstel versterking bevoegdheden mededingingsautoriteiten en verhouding grote en kleine partijen op markten","Kamerstuk 24 036, nr. 418",Big data,EZK,"Marktwerking, deregulering en wetgevingskwaliteit",2016/2017,https://zoek.officielebekendmakingen.nl/kst-24036-418.html,,,,,
Brief,Data laten werken voor gezondheid,"Kamerstuk 27 529, nr. 164",Data,VWS,Informatie- en Communicatietechnologie (ICT) in de Zorg,2018/2019,https://zoek.officielebekendmakingen.nl/kst-27529-164,,,,,
Kabinetsreactie,Kabinetsreactie op het rapport ‘Voorbereiden op digitale ontwrichting’ van de Wetenschappelijke Raad voor het Regeringsbeleid (WRR) en een overzicht van de geleerde lessen van de Citrix-problematie,"Kamerstuk 26 643, nr. 673",Digitale ontwrichting,JenV,Informatie en communicatietechnologie (ICT) en Nationale veiligheid,2019/2020,https://zoek.officielebekendmakingen.nl/kst-26643-673.html,,,,,
Kabinetsreactie,Reactie op het rapport ‘Surveillance Giants: how the business model of Google and Facebook threatens human rights’ van Amnesty International en het rapport van de VN-rapporteur voor extreme armoede en mensenrechten over de inzet van data-gedreven technologieën door overheden ,"Kamerstuk 26 643, nr. 672",Surveillance,BZK/JenV,Informatie- en communicatietechnologie (ICT),2019/2020,https://zoek.officielebekendmakingen.nl/kst-26643-672.html,,,,,
Fiche,Fiche : Mededeling gegevensbeschermingsregels,"Kamerstuk 22112 , nr. 2830",gegevensbescherming,,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2019/2020,https://zoek.officielebekendmakingen.nl/kst-22112-2830.html,,,,,
Fiche,Fiche: mededeling Fraudebestrijdingsstrategie,"Kamerstuk 22 112, nr. 2812",fraudebestrijding,,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2018/2019,https://zoek.officielebekendmakingen.nl/kst-22112-2812.html,,,,,
Fiche,Fiche: Mededeling Vertrouwen kweken in de mensgerichte kunstmatige Intelligentie ,"Kamerstuk 22 112, nr. 2799",Kunstmatige intelligentie,,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2018/2019,https://zoek.officielebekendmakingen.nl/kst-22112-2799.html,,,,,
Fiche,Fiche: Mededeling voor meer efficiënte besluitvorming in het sociaal domein,"Kamerstuk 22 112, nr. 2800",non-discriminatie ,,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2018/2019,https://zoek.officielebekendmakingen.nl/kst-22112-2800.html,,,,,
Fiche,Fiche: Actieplan Desinformatie,"Kamerstuk 22112, nr. 2760",desinformatie,,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2018/2019,https://zoek.officielebekendmakingen.nl/kst-22112-2760.html,,,,,
Fiche,Fiche: Gecoördineerd actieplan Kunstmatige Intelligentie (AI) voor Europa,"Kamerstuk 22 112, nr. 2758",Kunstmatige intelligentie,,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2018/2019,https://zoek.officielebekendmakingen.nl/kst-22112-2758.html,,,,,
Fiche,Fiche: MFK – Verordening Digital Europe programma (2021–2027),"Kamerstuk 22 112, nr. 2664",Kunstmatige intelligentie,,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2018/2019,https://zoek.officielebekendmakingen.nl/kst-22112-2664.html,,,,,
Fiche,Fiche: Mededeling: Bestrijding online desinformatie – een Europese aanpak,"Kamerstuk 22 112, nr. 2608",desinformatie,,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2018/2019,https://zoek.officielebekendmakingen.nl/kst-22112-2608.html,,,,,
Fiche,Fiche: Verordening inzake relatie tussen platforms en bedrijven,"Kamerstuk 22 112, nr. 2579",platforms,,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2017/2018,https://zoek.officielebekendmakingen.nl/kst-22112-2579.html,,,,,
Fiche,Fiche: Mededeling naar een gemeenschappelijke Europese gegevensruimte,"Kamerstuk 22 112, nr. 2576",data ,,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2017/2018,https://zoek.officielebekendmakingen.nl/kst-22112-2576.html,,,,,
Fiche,Fiche: Herziening van de Europese richtlijn hergebruik van Overheidsinformatie,"Kamerstuk 22 112, nr.2577",open data ,,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2017/2018,https://zoek.officielebekendmakingen.nl/kst-22112-2577.html,,,,,
Fiche,Fiche: Mededeling over de digitale transformatie van gezondheid en zorg,"Kamerstuk 22 112, nr. 2575",ICT en zorg,,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2017/2018,https://zoek.officielebekendmakingen.nl/kst-22112-2575.html,,,,,
Fiche,Fiche: Mededeling Kunstmatige intelligentie voor Europa,"Kamerstuk 22 112, nr. 2578",Kunstmatige intelligentie,,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2017/2018,https://zoek.officielebekendmakingen.nl/kst-22112-2578.html,,,,,
Fiche,Fiche: Actieplan voor digitaal onderwijs,"Kamerstuk 22 112, nr. 2525",ICT en onderwijs,,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2017/2018,https://zoek.officielebekendmakingen.nl/kst-22112-2525.html,,,,,
Fiche,Fiche: Verordening bescherming persoonsgegevens in een geglobaliseerde wereld,"Kamerstuk 22 112, nr.2309",gegevensbescherming,,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2016/2017,https://zoek.officielebekendmakingen.nl/kst-22112-2309.html,,,,,
Fiche,Fiche: Mededeling opbouwen van een Europese Data-Economie;,"Kamerstuk 22 112, nr.2305",data ,,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2016/2017,https://zoek.officielebekendmakingen.nl/kst-22112-2305.html,,,,,
Fiche,Fiche: Vervanging van de ePrivacyrichtlijn door een ePrivacyverordening,"Kamerstuk 22 112, nr. 2306",e-privacy,,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2016/2017,https://zoek.officielebekendmakingen.nl/kst-22112-2306,,,,,
Brief EK,Brief van de minister van Buitenlandse Zaken inzake kabinetsappreciatie Commissiewerkprogramma 2020,Kamerstuk 35403-A,Digitaal Europa,,Staat van de Europese Unie 2020,2019/2020,https://zoek.officielebekendmakingen.nl/kst-35403-A,,,,,
